geneSymbol	geneName	ProbeID	logFC	P.Value	adj.P.Val
COTL1	coactosin-like 1 (Dictyostelium)	1070678	-0.757749473	7.55E-07	5.63E-05
RFXANK	regulatory factor X-associated ankyrin-containing protein	6580603	0.574240928	7.68E-07	5.71E-05
NA	NA	3450288	-0.814322161	7.75E-07	5.73E-05
SLC35E1	"solute carrier family 35, member E1"	5390403	-0.585692034	7.78E-07	5.73E-05
LRRC57	leucine rich repeat containing 57	6760026	-0.582668799	7.79E-07	5.73E-05
GDF15	growth differentiation factor 15	5090671	0.603127285	7.82E-07	5.74E-05
TNFSF4	"tumor necrosis factor (ligand) superfamily, member 4"	5690398	0.504686577	8.07E-07	5.88E-05
HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	1820398	-0.570272944	8.07E-07	5.88E-05
IRS1	insulin receptor substrate 1	1710091	0.535080698	8.09E-07	5.88E-05
TMEM120A	transmembrane protein 120A	6270634	-0.684728824	8.18E-07	5.92E-05
KIF14	kinesin family member 14	2810201	-0.559709159	8.20E-07	5.92E-05
TPX2	"TPX2, microtubule-associated, homolog (Xenopus laevis)"	6290358	-0.544019347	8.35E-07	6.01E-05
FAM46A	"family with sequence similarity 46, member A"	3940133	-0.519506935	8.42E-07	6.04E-05
TERC	telomerase RNA component	3420678	0.615476129	8.50E-07	6.08E-05
MCM5	minichromosome maintenance complex component 5	7330253	-0.632411208	8.65E-07	6.16E-05
ASB5	ankyrin repeat and SOCS box containing 5	5270554	0.525651031	8.68E-07	6.17E-05
SLC2A4RG	SLC2A4 regulator	2070243	-0.600388985	8.93E-07	6.32E-05
PTTG1	pituitary tumor-transforming 1	1510291	-0.546812207	9.00E-07	6.34E-05
NA	NA	1240427	-0.569803704	9.03E-07	6.34E-05
RND3	Rho family GTPase 3	4210524	-0.501565417	9.04E-07	6.34E-05
FEN1	flap structure-specific endonuclease 1	1010719	-0.593340207	9.07E-07	6.34E-05
PHLDA1	"pleckstrin homology-like domain, family A, member 1"	5670367	0.611765108	9.15E-07	6.38E-05
SGIP1	SH3-domain GRB2-like (endophilin) interacting protein 1	6380239	0.561880683	9.21E-07	6.40E-05
WDR37	WD repeat domain 37	7210040	-0.635456019	9.26E-07	6.40E-05
DENR	density-regulated protein	7330164	-0.599734804	9.26E-07	6.40E-05
CCDC109B	coiled-coil domain containing 109B	1780259	-0.537246483	9.36E-07	6.44E-05
CNKSR3	CNKSR family member 3	5420731	-0.636983239	9.42E-07	6.47E-05
MED28	mediator complex subunit 28	6980010	0.594314806	9.47E-07	6.48E-05
CHAF1B	"chromatin assembly factor 1, subunit B (p60)"	4610731	-0.532111912	9.62E-07	6.55E-05
PSMC3IP	PSMC3 interacting protein	50382	-0.53747686	9.67E-07	6.55E-05
NUPR1	"nuclear protein, transcriptional regulator, 1"	4290189	-0.61401844	9.68E-07	6.55E-05
MCM10	minichromosome maintenance complex component 10	7570181	-0.708248085	9.69E-07	6.55E-05
AKT1	v-akt murine thymoma viral oncogene homolog 1	2470619	-0.491910907	9.73E-07	6.55E-05
BIRC5	baculoviral IAP repeat containing 5	1230682	-0.567261616	9.89E-07	6.64E-05
PRIM1	"primase, DNA, polypeptide 1 (49kDa)"	2140273	-0.549007624	1.02E-06	6.83E-05
SYT11	synaptotagmin XI	5910500	0.490068822	1.03E-06	6.86E-05
NA	NA	6580674	0.646912302	1.03E-06	6.87E-05
CLEC2D	"C-type lectin domain family 2, member D"	5490341	-0.571243969	1.05E-06	6.97E-05
TMEM218	transmembrane protein 218	4050463	-0.552231147	1.06E-06	7.00E-05
DLGAP5	"discs, large (Drosophila) homolog-associated protein 5"	5220095	-0.565481668	1.07E-06	7.03E-05
ANKRD46	ankyrin repeat domain 46	2750598	0.51657882	1.08E-06	7.10E-05
CDCA8	cell division cycle associated 8	4830634	-0.526201796	1.09E-06	7.14E-05
PRRX1	paired related homeobox 1	580431	-0.526926085	1.09E-06	7.14E-05
FANCD2	"Fanconi anemia, complementation group D2"	2690240	-0.578356507	1.10E-06	7.14E-05
NA	NA	6900762	-0.580707525	1.11E-06	7.23E-05
UBXN2B	UBX domain protein 2B	4780731	-0.644606151	1.12E-06	7.23E-05
NA	NA	3890427	0.563199477	1.12E-06	7.23E-05
MLEC	malectin	1990546	-0.788615619	1.12E-06	7.23E-05
ACYP2	"acylphosphatase 2, muscle type"	5290672	0.571023872	1.13E-06	7.23E-05
FOXO3	forkhead box O3	6200692	-0.519005809	1.14E-06	7.31E-05
PBK	PDZ binding kinase	3420554	-0.534353402	1.14E-06	7.31E-05
SKA1	spindle and kinetochore associated complex subunit 1	2030630	-0.499196864	1.16E-06	7.41E-05
NA	NA	3780767	0.842346962	1.20E-06	7.60E-05
COL3A1	"collagen, type III, alpha 1"	2120021	0.660262677	1.21E-06	7.63E-05
UBE4B	ubiquitination factor E4B	2140563	-0.543205285	1.23E-06	7.76E-05
PRRX2	paired related homeobox 2	4150204	-0.651306905	1.25E-06	7.89E-05
CTGF	connective tissue growth factor	5690687	-0.532258519	1.28E-06	8.03E-05
KLHDC2	kelch domain containing 2	2810364	-0.668654411	1.29E-06	8.05E-05
PRMT6	protein arginine methyltransferase 6	3890187	-0.615831516	1.29E-06	8.05E-05
ZNF770	zinc finger protein 770	2070747	-0.628390056	1.30E-06	8.05E-05
EXOSC3	exosome component 3	6130196	-0.54522041	1.30E-06	8.05E-05
NA	NA	450546	-0.623497522	1.31E-06	8.12E-05
BRSK1	BR serine/threonine kinase 1	4890598	0.51581237	1.31E-06	8.12E-05
EIF4E2	eukaryotic translation initiation factor 4E family member 2	4540632	0.492849668	1.34E-06	8.25E-05
GABPA	"GA binding protein transcription factor, alpha subunit 60kDa"	270053	-0.616390605	1.34E-06	8.25E-05
TOPBP1	topoisomerase (DNA) II binding protein 1	870601	-0.542844717	1.35E-06	8.25E-05
RNU1-9	"RNA, U1 small nuclear 9"	2360091	0.544911345	1.35E-06	8.28E-05
TMEM167B	transmembrane protein 167B	3130241	-0.586046718	1.37E-06	8.36E-05
ATXN7L3B	ataxin 7-like 3B	7000338	0.503923561	1.38E-06	8.40E-05
SLC35E2B	"solute carrier family 35, member E2B"	360731	-0.641268406	1.39E-06	8.42E-05
CENPW	centromere protein W	540215	-0.720470882	1.39E-06	8.42E-05
CTXN1	cortexin 1	360114	0.519018484	1.42E-06	8.53E-05
VHL	von Hippel-Lindau tumor suppressor	2490176	0.528702432	1.44E-06	8.63E-05
IRAK1	interleukin-1 receptor-associated kinase 1	4040564	-0.502100798	1.49E-06	8.91E-05
NA	NA	4850403	-0.558586347	1.49E-06	8.91E-05
ESM1	endothelial cell-specific molecule 1	3420605	-0.66979861	1.50E-06	8.93E-05
NA	NA	2760719	-0.562073045	1.50E-06	8.93E-05
ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	2630673	-0.557868734	1.55E-06	9.18E-05
HMMR	hyaluronan-mediated motility receptor (RHAMM)	4060064	-0.549705983	1.56E-06	9.20E-05
NA	NA	6200747	-0.678784275	1.56E-06	9.20E-05
KHDRBS3	"KH domain containing, RNA binding, signal transduction associated 3"	6270273	-0.496118557	1.57E-06	9.20E-05
ASB5	ankyrin repeat and SOCS box containing 5	1440445	0.489642429	1.57E-06	9.20E-05
C21orf7	chromosome 21 open reading frame 7	150315	0.620347314	1.62E-06	9.47E-05
ACPP	"acid phosphatase, prostate"	2680725	-0.576947646	1.66E-06	9.68E-05
KIAA1199	KIAA1199	110181	-1.407491567	1.70E-06	9.89E-05
COL7A1	"collagen, type VII, alpha 1"	2490593	0.610336663	1.72E-06	9.97E-05
NDC80	"NDC80 homolog, kinetochore complex component (S. cerevisiae)"	1050470	-0.498223341	1.72E-06	9.97E-05
RFC3	"replication factor C (activator 1) 3, 38kDa"	1780463	-0.579755871	1.76E-06	0.0001013
FOLR3	folate receptor 3 (gamma)	4010181	0.542713811	1.76E-06	0.0001013
RAB11FIP5	RAB11 family interacting protein 5 (class I)	1260193	-0.514438944	1.77E-06	0.000101764
BHMT2	betaine--homocysteine S-methyltransferase 2	4210075	-0.639399937	1.79E-06	0.000102641
EHBP1L1	EH domain binding protein 1-like 1	6400224	-0.493730421	1.82E-06	0.000104109
CD36	CD36 molecule (thrombospondin receptor)	3310538	0.556619414	1.85E-06	0.000105344
AKIRIN1	akirin 1	520040	0.613898315	1.91E-06	0.000108255
DDIT4L	DNA-damage-inducible transcript 4-like	380019	-0.637856629	1.91E-06	0.000108255
LUM	lumican	2490364	-0.595964904	1.92E-06	0.000108687
LSM2	"LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)"	4540349	-0.489820337	1.93E-06	0.000108877
SUMO2	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae)	520133	-0.813500917	1.94E-06	0.000109086
KLHL36	kelch-like 36 (Drosophila)	2000767	0.507574904	1.96E-06	0.000110131
ZWILCH	"Zwilch, kinetochore associated, homolog (Drosophila)"	7000743	-0.517905381	1.97E-06	0.000110573
NA	NA	3310392	-0.522926211	2.00E-06	0.000111606
NA	NA	7000193	-0.537584228	2.01E-06	0.000112286
PPIC	peptidylprolyl isomerase C (cyclophilin C)	7000114	0.572844538	2.03E-06	0.000113016
NTM	neurotrimin	1440376	0.504291174	2.04E-06	0.000113386
BRK1	"BRICK1, SCAR/WAVE actin-nucleating complex subunit"	2000546	-0.533143298	2.11E-06	0.000116286
FRMD6	FERM domain containing 6	7510309	0.486994682	2.11E-06	0.000116286
KPNA3	karyopherin alpha 3 (importin alpha 4)	2760451	-0.520464464	2.12E-06	0.00011689
BCL2L1	BCL2-like 1	670673	0.525260197	2.14E-06	0.000117393
NA	NA	6510246	-0.667875414	2.15E-06	0.000117557
NCKAP5	NCK-associated protein 5	7400270	0.544112817	2.16E-06	0.000117995
SC5DL	"sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like"	6220397	0.562410218	2.22E-06	0.000121065
LRP8	"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"	4780411	-0.580590547	2.29E-06	0.000124318
AURKA	aurora kinase A	4730605	-0.469240925	2.34E-06	0.00012693
RGS12	regulator of G-protein signaling 12	4070215	-0.500281645	2.35E-06	0.000127374
FAM173B	"family with sequence similarity 173, member B"	7320368	-0.499683741	2.37E-06	0.000127984
NEK2	NIMA (never in mitosis gene a)-related kinase 2	4610669	-0.569134084	2.42E-06	0.000130092
EAF1	ELL associated factor 1	3840437	-0.499799964	2.55E-06	0.000137118
CHORDC1	cysteine and histidine-rich domain (CHORD) containing 1	380528	-0.534771223	2.56E-06	0.000137118
RAB5B	"RAB5B, member RAS oncogene family"	2850626	0.479624984	2.56E-06	0.000137118
UBTD1	ubiquitin domain containing 1	6770097	0.541971086	2.58E-06	0.000137383
TP53INP2	tumor protein p53 inducible nuclear protein 2	5360392	-0.497370611	2.62E-06	0.000139211
MOXD1	"monooxygenase, DBH-like 1"	3310520	-0.532638486	2.63E-06	0.000139532
CSRP1	cysteine and glycine-rich protein 1	6370397	-0.46807284	2.64E-06	0.000139853
ANLN	"anillin, actin binding protein"	6450669	-0.641666567	2.68E-06	0.000141567
SLC16A3	"solute carrier family 16, member 3 (monocarboxylic acid transporter 4)"	110719	-0.554934781	2.69E-06	0.000141645
RCC2	regulator of chromosome condensation 2	1340360	-0.577854298	2.70E-06	0.000141645
HIST1H4C	"histone cluster 1, H4c"	3890349	-0.631567401	2.70E-06	0.000141645
PGM2	phosphoglucomutase 2	4830504	-0.52956183	2.71E-06	0.000141685
NA	NA	1710192	-0.553259548	2.71E-06	0.000141685
ABCF1	"ATP-binding cassette, sub-family F (GCN20), member 1"	2190273	-0.476503632	2.73E-06	0.000142219
NCAPG	"non-SMC condensin I complex, subunit G"	1450280	-0.674505161	2.75E-06	0.000143047
CPT2	carnitine palmitoyltransferase 2	5360653	-0.47172669	2.81E-06	0.000145853
CDK2	cyclin-dependent kinase 2	4590064	-0.482230322	2.83E-06	0.000146342
HMGN2	high mobility group nucleosomal binding domain 2	4050541	-0.566956845	2.87E-06	0.000148162
NA	NA	3870373	-0.541190077	2.93E-06	0.000150888
SIX4	SIX homeobox 4	20653	0.464324665	2.95E-06	0.000151302
IL1B	"interleukin 1, beta"	840685	0.44849358	2.95E-06	0.00015136
DHCR7	7-dehydrocholesterol reductase	6550048	0.6479613	2.99E-06	0.000152774
NA	NA	5960484	0.571463098	3.04E-06	0.000155124
NA	NA	4760754	-0.623491396	3.10E-06	0.000157689
KLHDC8B	kelch domain containing 8B	7560114	-0.467686221	3.13E-06	0.000159093
MIS18BP1	MIS18 binding protein 1	1450603	-0.488510029	3.15E-06	0.000159569
KIAA1191	KIAA1191	7570465	-0.476505739	3.16E-06	0.000159822
BUB3	budding uninhibited by benzimidazoles 3 homolog (yeast)	5960465	-0.522065816	3.17E-06	0.000159876
FZD7	frizzled family receptor 7	1570709	-0.570340699	3.18E-06	0.000159943
TM7SF2	transmembrane 7 superfamily member 2	5570653	0.54979027	3.24E-06	0.000162776
NA	NA	6650228	-0.840046978	3.30E-06	0.000165516
SGCB	"sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)"	1510471	-0.623536841	3.32E-06	0.000165805
C12orf76	chromosome 12 open reading frame 76	2510181	0.480452765	3.37E-06	0.000167823
GYPC	glycophorin C (Gerbich blood group)	7000577	0.594481221	3.42E-06	0.000170049
SLC41A3	"solute carrier family 41, member 3"	3890681	-0.449231863	3.44E-06	0.000170566
NA	NA	3780152	0.486231654	3.49E-06	0.000172912
NA	NA	2070437	-0.559898509	3.50E-06	0.000173198
TSGA14	"testis specific, 14"	6280609	-0.463251943	3.55E-06	0.000175026
HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	10209	-0.499172301	3.57E-06	0.000175682
TTK	TTK protein kinase	5870725	-0.563521522	3.65E-06	0.000179152
POC1A	POC1 centriolar protein homolog A (Chlamydomonas)	6660446	-0.450869045	3.69E-06	0.000180377
PARVB	"parvin, beta"	1820386	0.537360513	3.69E-06	0.000180377
GAS6	growth arrest-specific 6	4280632	-0.520389021	3.86E-06	0.000188334
TOX2	TOX high mobility group box family member 2	1400601	-0.482081887	3.87E-06	0.000188349
C9orf69	chromosome 9 open reading frame 69	7380367	0.672498655	3.93E-06	0.00019054
PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	2750367	0.541450338	3.93E-06	0.00019054
COMMD7	COMM domain containing 7	7050576	-0.447402822	3.94E-06	0.00019054
MT1X	metallothionein 1X	6620528	-0.460450451	3.96E-06	0.000190918
CAPRIN2	caprin family member 2	1980202	0.468862321	3.97E-06	0.000191225
H3F3B	"H3 histone, family 3B (H3.3B)"	1440296	0.507446458	3.99E-06	0.000191673
ZNF581	zinc finger protein 581	3890482	0.489043664	4.02E-06	0.000192775
NA	NA	6100576	-0.590176887	4.07E-06	0.000194473
ZNF444	zinc finger protein 444	670242	0.472874383	4.12E-06	0.000196161
RWDD1	RWD domain containing 1	1510202	-0.532725381	4.12E-06	0.000196161
MRPL11	mitochondrial ribosomal protein L11	1050187	-0.563279017	4.13E-06	0.000196228
SCAF11	SR-related CTD-associated factor 11	780010	-0.477538148	4.15E-06	0.000196814
ANXA11	annexin A11	1300274	-0.519188803	4.17E-06	0.000197083
TMEM127	transmembrane protein 127	7330347	-0.506282777	4.17E-06	0.000197123
CCDC28B	coiled-coil domain containing 28B	2630102	0.451345399	4.24E-06	0.000199868
CDCA4	cell division cycle associated 4	7610494	-0.457588745	4.25E-06	0.000199868
DUSP5	dual specificity phosphatase 5	5390161	0.540358517	4.34E-06	0.00020379
SNORA79	"small nucleolar RNA, H/ACA box 79"	1090196	0.769023016	4.47E-06	0.000209053
VRK1	vaccinia related kinase 1	2600739	-0.471527335	4.56E-06	0.000212731
FAM32A	"family with sequence similarity 32, member A"	3780440	-0.472932488	4.56E-06	0.000212731
TRIAP1	TP53 regulated inhibitor of apoptosis 1	2600184	0.499866147	4.57E-06	0.000212851
ULBP2	UL16 binding protein 2	4490356	0.453732732	4.60E-06	0.000213413
LINC00161	long intergenic non-protein coding RNA 161	3610110	0.469870241	4.62E-06	0.000214035
NA	NA	2340703	-0.502146975	4.69E-06	0.000216965
MTUS1	microtubule associated tumor suppressor 1	7320520	-0.531824116	4.81E-06	0.000221699
PQLC3	PQ loop repeat containing 3	7000382	-0.519737652	4.81E-06	0.000221699
NLGN2	neuroligin 2	4830477	0.466349278	4.93E-06	0.000226742
PLCB1	"phospholipase C, beta 1 (phosphoinositide-specific)"	1570079	0.465799305	4.98E-06	0.000228146
COL12A1	"collagen, type XII, alpha 1"	3060095	-0.510537483	5.00E-06	0.000228586
DUSP3	dual specificity phosphatase 3	6560156	-0.482279947	5.01E-06	0.000228586
NA	NA	1400626	-0.480305135	5.11E-06	0.000232786
ALDH3B1	"aldehyde dehydrogenase 3 family, member B1"	2970356	-0.595267265	5.12E-06	0.000233001
NMT1	N-myristoyltransferase 1	6280037	-0.465859445	5.19E-06	0.00023569
C21orf56	chromosome 21 open reading frame 56	1500390	0.444861013	5.22E-06	0.000235866
ORC6	"origin recognition complex, subunit 6"	4830343	-0.51277829	5.22E-06	0.000235866
BCAT1	"branched chain amino-acid transaminase 1, cytosolic"	7650524	-0.529047567	5.34E-06	0.000240797
LSM10	"LSM10, U7 small nuclear RNA associated"	160255	0.503750559	5.43E-06	0.000244582
TROAP	trophinin associated protein (tastin)	4760646	-0.523306293	5.52E-06	0.000248082
RNU1-8	"RNA, U1 small nuclear 8"	5670753	0.552019403	5.59E-06	0.000250761
UBASH3B	ubiquitin associated and SH3 domain containing B	1940524	-0.446487858	5.61E-06	0.000251074
C6orf192	chromosome 6 open reading frame 192	160333	0.450421504	5.67E-06	0.000253077
RRM2	ribonucleotide reductase M2	510731	-0.477406004	5.76E-06	0.000256498
STK25	serine/threonine kinase 25	7330678	-0.614346451	5.83E-06	0.000258437
C5orf41	chromosome 5 open reading frame 41	6860228	0.512637384	5.83E-06	0.000258437
SYDE1	"synapse defective 1, Rho GTPase, homolog 1 (C. elegans)"	2370348	0.475069726	5.83E-06	0.000258437
RNU1-5	"RNA, U1 small nuclear 5"	2970482	0.572109504	5.85E-06	0.000258491
TACC3	"transforming, acidic coiled-coil containing protein 3"	4390484	-0.462897216	5.86E-06	0.000258777
SYTL2	synaptotagmin-like 2	5810278	0.569754826	5.88E-06	0.000259008
GPER	G protein-coupled estrogen receptor 1	270593	-0.482938214	5.95E-06	0.00026154
PTBP1	polypyrimidine tract binding protein 1	4260754	-0.482882872	6.03E-06	0.000264389
TMCO1	transmembrane and coiled-coil domains 1	1470209	-0.489879617	6.08E-06	0.000265955
KIF18A	kinesin family member 18A	2470035	-0.470495571	6.12E-06	0.00026746
WDR33	WD repeat domain 33	3390110	-0.428256636	6.15E-06	0.000267978
MOK	MOK protein kinase	1470348	0.428789269	6.18E-06	0.00026879
NA	NA	5420162	-0.489940755	6.20E-06	0.000269085
MCM4	minichromosome maintenance complex component 4	2630711	-0.625346082	6.24E-06	0.000270476
TMPO	thymopoietin	3400630	-0.502089807	6.28E-06	0.000271822
PTPN4	"protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)"	3390075	0.521057888	6.46E-06	0.000278988
NDE1	nudE nuclear distribution gene E homolog 1 (A. nidulans)	130347	-0.50207345	6.48E-06	0.000278988
MCM7	minichromosome maintenance complex component 7	730274	-0.514214742	6.49E-06	0.000278988
CENPF	"centromere protein F, 350/400kDa (mitosin)"	4780129	-0.527217615	6.51E-06	0.00027918
MGAT4B	"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B"	4060364	0.539778067	6.52E-06	0.00027918
NOV	nephroblastoma overexpressed gene	4290037	-0.449529775	6.58E-06	0.000281293
N4BP2L2	NEDD4 binding protein 2-like 2	7200097	0.471895665	6.69E-06	0.000285432
PLAU	"plasminogen activator, urokinase"	5360670	0.539888947	6.73E-06	0.000286159
C4orf46	chromosome 4 open reading frame 46	4730397	-0.512423491	6.73E-06	0.000286159
FAM13B	"family with sequence similarity 13, member B"	5900544	0.46915473	6.77E-06	0.000286966
NA	NA	2120754	0.455340777	6.77E-06	0.000286966
NA	NA	1990328	-0.572137733	6.86E-06	0.00029007
NA	NA	4180450	0.508272627	6.96E-06	0.000293595
DEPDC1	DEP domain containing 1	6200201	-0.564146226	7.00E-06	0.000295027
FRAT2	frequently rearranged in advanced T-cell lymphomas 2	7330026	0.466645459	7.02E-06	0.000295156
NA	NA	1740673	-0.770792831	7.06E-06	0.000296072
EGLN2	egl nine homolog 2 (C. elegans)	7650653	-0.48147361	7.08E-06	0.000296365
CORO1C	"coronin, actin binding protein, 1C"	670025	-0.522408762	7.10E-06	0.000296915
DHX29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	5130458	0.424907209	7.12E-06	0.000296922
ITGB3BP	integrin beta 3 binding protein (beta3-endonexin)	5890253	-0.429630593	7.21E-06	0.000300328
HJURP	Holliday junction recognition protein	3180367	-0.538483306	7.30E-06	0.000303455
AMMECR1	"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"	2340601	0.501842856	7.46E-06	0.000309531
IMPA2	inositol(myo)-1(or 4)-monophosphatase 2	2340241	-0.494134752	7.61E-06	0.000315197
PHF1	PHD finger protein 1	7610273	0.429570924	7.66E-06	0.000316697
KATNAL1	katanin p60 subunit A-like 1	2470600	-0.443653713	7.84E-06	0.000323655
MNS1	meiosis-specific nuclear structural 1	1090338	-0.462417998	7.88E-06	0.000324029
JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough	2350722	0.434190297	7.88E-06	0.000324029
CEBPD	"CCAAT/enhancer binding protein (C/EBP), delta"	5490408	-0.503504235	8.00E-06	0.000328453
HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	6550603	-0.476449139	8.04E-06	0.000329199
PKIA	"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"	510435	0.443440938	8.17E-06	0.000334122
SEC14L1	SEC14-like 1 (S. cerevisiae)	4200441	0.449458797	8.21E-06	0.0003352
NA	NA	1090500	0.447514611	8.27E-06	0.000336755
PRIM1	"primase, DNA, polypeptide 1 (49kDa)"	6200390	-0.48363752	8.32E-06	0.000338224
DNAJC9	"DnaJ (Hsp40) homolog, subfamily C, member 9"	50114	-0.508970585	8.34E-06	0.000338386
MED30	mediator complex subunit 30	1230292	-0.440182898	8.38E-06	0.000339455
NA	NA	1500619	0.529507336	8.41E-06	0.00034006
NA	NA	3450632	0.473039334	8.54E-06	0.000344828
KANK1	KN motif and ankyrin repeat domains 1	7000397	0.46828323	8.60E-06	0.000346318
NEIL3	nei endonuclease VIII-like 3 (E. coli)	1980039	-0.419197358	8.61E-06	0.000346452
ADAR	"adenosine deaminase, RNA-specific"	2900450	-0.486749767	8.64E-06	0.000346893
C1orf115	chromosome 1 open reading frame 115	770564	0.561216464	8.78E-06	0.000351987
NUSAP1	nucleolar and spindle associated protein 1	1500553	-0.543352271	8.96E-06	0.000358526
NA	NA	3310288	-0.422308606	8.98E-06	0.000358551
HAUS8	"HAUS augmin-like complex, subunit 8"	650307	-0.434048791	9.09E-06	0.000361995
